"File Name","Command","Link","Alt Text","Type","ID (Ref)","File Name (Ref)","Import Result","Import Comment"
"Donna-Wilson.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Donna-Wilson.jpg","Donna Wilson","IMAGE","gid://shopify/MediaImage/56391838302579","","OK","NEW"
"S.I.-Design.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/S.I.-Design.jpg","S I Design","IMAGE","gid://shopify/MediaImage/56391839449459","","OK","NEW"
"Susanne-Grønlund.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Susanne-Gr%C3%B8nlund.jpg","Susanne Grønlund","IMAGE","gid://shopify/MediaImage/56391840203123","","OK","NEW"
"Tej-Chauhan.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Tej-Chauhan.jpg","Tej Chauhan","IMAGE","gid://shopify/MediaImage/56391839613299","","OK","NEW"
"Matthias-Demacker_2025-11-07-103645_fnyp.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Matthias-Demacker_2025-11-07-103645_fnyp.jpg","Matthias Demacker","IMAGE","gid://shopify/MediaImage/56391839908211","Matthias-Demacker_2025-11-07-103645_fnyp.jpg","OK","NEW"
"Oscar-Coakley.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Oscar-Coakley.jpg","Oscar Coakley","IMAGE","gid://shopify/MediaImage/56391840072051","","OK","NEW"
"Anders-Nørgaard.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Anders-N%C3%B8rgaard.jpg","Anders Nørgaard","IMAGE","gid://shopify/MediaImage/56391840170355","","OK","NEW"
"Bruno-Rainaldi.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Bruno-Rainaldi.jpg","Bruno Rainaldi","IMAGE","gid://shopify/MediaImage/56391840301427","","OK","NEW"
"Müller-Wulff.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/M%C3%BCller-Wulff.jpg","Müller Wulff","IMAGE","gid://shopify/MediaImage/56391840104819","Muller-Wulff.jpg","OK","NEW"
"Niccolò-Grassi_2025-11-08-074706_wnlr.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Niccol%C3%B2-Grassi_2025-11-08-074706_wnlr.jpg","Niccolò Grassi","IMAGE","gid://shopify/MediaImage/56391840498035","","OK","NEW"
"Michiel-van-der-Kley.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Michiel-van-der-Kley.jpg","Michiel van der Kley","IMAGE","gid://shopify/MediaImage/56391840399731","","OK","NEW"
"Riccardo-Arbizzoni-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Riccardo-Arbizzoni-1.jpg","Riccardo Arbizzoni 1","IMAGE","gid://shopify/MediaImage/56391840530803","","OK","NEW"
"Olafur-Eliasson.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Olafur-Eliasson.jpg","Olafur Eliasson","IMAGE","gid://shopify/MediaImage/56391840563571","","OK","NEW"
"Lisa-Hilland.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Lisa-Hilland.jpg","Lisa Hilland","IMAGE","gid://shopify/MediaImage/56391840661875","","OK","NEW"
"Cardeoli.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Cardeoli.jpg","Cardeoli","IMAGE","gid://shopify/MediaImage/56391840792947","","OK","NEW"
"Mia-Cullin.png","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Mia-Cullin.png","Mia Cullin","IMAGE","gid://shopify/MediaImage/56391840596339","","OK","NEW"
"Nicholas-Baker.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Nicholas-Baker.jpg","Nicholas Baker","IMAGE","gid://shopify/MediaImage/56391840268659","","OK","NEW"
"Giovanni-Tomasini.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Giovanni-Tomasini.jpg","Giovanni Tomasini","IMAGE","gid://shopify/MediaImage/56391840334195","","OK","NEW"
"Toshiyuki-Kita.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Toshiyuki-Kita.jpg","Toshiyuki Kita","IMAGE","gid://shopify/MediaImage/56391841022323","","OK","NEW"
"Carlesi-Tonelli.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Carlesi-Tonelli.jpg","Carlesi Tonelli","IMAGE","gid://shopify/MediaImage/56391840825715","","OK","NEW"
"Mayr-Glatzl.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Mayr-Glatzl.jpg","Mayr Glatzl","IMAGE","gid://shopify/MediaImage/56391840760179","","OK","NEW"
"Johannes-Torpe.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Johannes-Torpe.jpg","Johannes Torpe","IMAGE","gid://shopify/MediaImage/56391840465267","","OK","NEW"
"Giuliano-Cappelletti.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Giuliano-Cappelletti.jpg","Giuliano Cappelletti","IMAGE","gid://shopify/MediaImage/56391840235891","","OK","NEW"
"Thomas-Herzog.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Thomas-Herzog.jpg","Thomas Herzog","IMAGE","gid://shopify/MediaImage/56391840629107","","OK","NEW"
"David-Ericsson.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/David-Ericsson.jpg","David Ericsson","IMAGE","gid://shopify/MediaImage/56391840989555","","OK","NEW"
"David-Adjaye.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/David-Adjaye.jpg","David Adjaye","IMAGE","gid://shopify/MediaImage/56391840956787","","OK","NEW"
"Marco-Piva.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Marco-Piva.jpg","Marco Piva","IMAGE","gid://shopify/MediaImage/56391841055091","","OK","NEW"
"Tord-Boontje_2025-09-29-111535_emiv.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Tord-Boontje_2025-09-29-111535_emiv.jpg","Tord Boontje","IMAGE","gid://shopify/MediaImage/56391840432499","","OK","NEW"
"Riccardo-Arbizzoni.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Riccardo-Arbizzoni.jpg","Riccardo Arbizzoni","IMAGE","gid://shopify/MediaImage/56391840366963","","OK","NEW"
"Emilio-Nanni.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Emilio-Nanni.jpg","Emilio Nanni","IMAGE","gid://shopify/MediaImage/56391840694643","","OK","NEW"
"Pepe-Albargues.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Pepe-Albargues.jpg","Pepe Albargues","IMAGE","gid://shopify/MediaImage/56391841120627","","OK","NEW"
"Mats-Theselius.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Mats-Theselius.jpg","Mats Theselius","IMAGE","gid://shopify/MediaImage/56391840727411","","OK","NEW"
"Joris-Poggioli.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Joris-Poggioli.jpg","Joris Poggioli","IMAGE","gid://shopify/MediaImage/56391841350003","","OK","NEW"
"Richard-Hutten.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Richard-Hutten.jpg","Richard Hutten","IMAGE","gid://shopify/MediaImage/56391840891251","","OK","NEW"
"Niko-Kralj.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Niko-Kralj.jpg","Niko Kralj","IMAGE","gid://shopify/MediaImage/56391841382771","","OK","NEW"
"Stefano-Boeri.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Stefano-Boeri.jpg","Stefano Boeri","IMAGE","gid://shopify/MediaImage/56391840924019","","OK","NEW"
"Marc-Thorpe.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Marc-Thorpe.jpg","Marc Thorpe","IMAGE","gid://shopify/MediaImage/56391841513843","","OK","NEW"
"Pepe-Albargues-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Pepe-Albargues-1.jpg","Pepe Albargues 1","IMAGE","gid://shopify/MediaImage/56391841317235","","OK","NEW"
"Aldo-Spinelli.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Aldo-Spinelli.jpg","Aldo Spinelli","IMAGE","gid://shopify/MediaImage/56391841677683","","OK","NEW"
"Martin-Ballendat.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Martin-Ballendat.jpg","Martin Ballendat","IMAGE","gid://shopify/MediaImage/56391840858483","","OK","NEW"
"MSDS-Studio.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/MSDS-Studio.jpg","MSDS Studio","IMAGE","gid://shopify/MediaImage/56391841939827","","OK","NEW"
"Afroditi-krassa.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Afroditi-krassa.jpg","Afroditi krassa","IMAGE","gid://shopify/MediaImage/56391841153395","","OK","NEW"
"Serena-Confalonieri.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Serena-Confalonieri.jpg","Serena Confalonieri","IMAGE","gid://shopify/MediaImage/56391841284467","","OK","NEW"
"Helidon-Xhixha.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Helidon-Xhixha.jpg","Helidon Xhixha","IMAGE","gid://shopify/MediaImage/56391841874291","","OK","NEW"
"Nipa-Doshi-Jonathan-Levien.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Nipa-Doshi-Jonathan-Levien.jpg","Nipa Doshi Jonathan Levien","IMAGE","gid://shopify/MediaImage/56391841186163","","OK","NEW"
"Pi7_Paula_Rosales_NuBel-scaled-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Pi7_Paula_Rosales_NuBel-scaled-1.jpg","Pi7 Paula Rosales Nu Bel scaled 1","IMAGE","gid://shopify/MediaImage/56391841218931","","OK","NEW"
"Aldo-Spinelli-2.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Aldo-Spinelli-2.jpg","Aldo Spinelli 2","IMAGE","gid://shopify/MediaImage/56391841415539","","OK","NEW"
"Annabel-Karim-Kassar.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Annabel-Karim-Kassar.jpg","Annabel Karim Kassar","IMAGE","gid://shopify/MediaImage/56391841644915","","OK","NEW"
"Antonio-Citterio_designer_image.jpeg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Antonio-Citterio_designer_image.jpeg","Antonio Citterio designer image","IMAGE","gid://shopify/MediaImage/56391841579379","","OK","NEW"
"Yabu-Pushelberg_2025-07-28-110853_wgfy.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Yabu-Pushelberg_2025-07-28-110853_wgfy.jpg","Yabu Pushelberg","IMAGE","gid://shopify/MediaImage/56391841448307","","OK","NEW"
"Laurie-Wiid-van-Heerden.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Laurie-Wiid-van-Heerden.jpg","Laurie Wiid van Heerden","IMAGE","gid://shopify/MediaImage/56391841841523","","OK","NEW"
"Kris-Van-Puyvelde.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Kris-Van-Puyvelde.jpg","Kris Van Puyvelde","IMAGE","gid://shopify/MediaImage/56391841972595","","OK","NEW"
"Roberto-Sironi.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Roberto-Sironi.jpg","Roberto Sironi","IMAGE","gid://shopify/MediaImage/56391841907059","","OK","NEW"
"paula-rosales-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/paula-rosales-1.jpg","Paula rosales 1","IMAGE","gid://shopify/MediaImage/56391841808755","","OK","NEW"
"Alf-Bärbel-Wit.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Alf-B%C3%A4rbel-Wit.jpg","Alf Bärbel Wit","IMAGE","gid://shopify/MediaImage/56391842234739","","OK","NEW"
"images-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/images-1.jpg","Images 1","IMAGE","gid://shopify/MediaImage/56391841710451","","OK","NEW"
"Vladimir-Kagan-1.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Vladimir-Kagan-1.jpg","Vladimir Kagan 1","IMAGE","gid://shopify/MediaImage/56391841743219","","OK","NEW"
"Edward-Barber-Jay-Osgerby.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Edward-Barber-Jay-Osgerby.jpg","Edward Barber Jay Osgerby","IMAGE","gid://shopify/MediaImage/56391842300275","","OK","NEW"
"Sebastian-Wrong.jpg","MERGE","https://website-craft.s3.amazonaws.com/hero-images/Sebastian-Wrong.jpg","Sebastian Wrong","IMAGE","gid://shopify/MediaImage/56391842136435","","OK","NEW"
